locus	parsInfSites
1	3
2	9
3	6
4	6
5	12
6	26
7	6
8	19
9	15
10	13
11	12
12	6
13	12
14	9
15	38
16	11
17	7
18	29
19	31
20	10
21	18
22	15
23	22
24	7
25	18
26	5
27	5
28	3
29	13
30	6
31	5
32	9
33	14
34	15
35	9
36	6
37	15
38	14
39	11
40	6
41	17
42	11
43	19
44	23
45	10
46	4
47	11
48	8
49	17
50	9
51	9
52	7
53	18
54	12
55	19
56	22
57	11
58	26
59	20
60	8
61	10
62	6
63	10
64	16
65	10
66	28
67	15
68	7
69	5
70	1
71	2
72	14
73	22
74	12
75	16
76	8
77	19
78	1
79	1
80	5
81	9
82	14
83	25
84	7
85	8
86	9
87	8
88	13
89	1
90	11
91	15
92	7
93	21
94	5
95	24
96	10
97	15
98	10
99	17
100	3
101	31
102	10
103	15
104	12
105	11
106	52
107	8
108	8
109	26
110	12
111	29
112	6
113	26
114	12
115	11
116	12
117	2
118	19
119	19
120	13
121	13
122	11
123	16
124	4
125	11
126	12
127	30
128	12
129	31
130	0
131	13
132	10
133	29
134	13
135	12
136	5
137	16
138	27
139	14
140	0
141	21
142	5
143	28
144	5
145	8
146	7
147	13
148	7
149	14
150	9
151	12
152	16
153	21
154	11
155	17
156	7
157	10
158	6
159	6
160	5
161	10
162	17
163	20
164	4
165	21
166	12
167	8
168	6
169	8
170	4
171	13
172	18
173	6
174	11
175	14
176	5
177	44
178	4
179	12
180	12
181	15
182	5
183	16
184	47
185	7
186	18
187	8
188	54
189	6
190	48
191	14
192	4
193	1
194	2
195	10
196	9
197	12
198	8
199	20
200	3
201	54
202	11
203	11
204	22
205	4
206	18
207	4
208	17
209	13
210	11
211	41
212	20
213	5
214	12
215	20
216	14
217	8
218	4
219	14
220	9
221	12
222	26
223	19
224	18
225	20
226	21
227	5
