locus	varSites
201	71
190	64
188	61
177	61
106	60
184	52
15	50
23	44
211	43
56	40
204	40
133	40
66	38
129	37
143	35
101	35
127	34
212	33
19	33
222	32
111	31
154	30
138	30
113	30
58	29
38	29
215	29
18	29
83	28
6	28
153	28
109	28
21	27
95	26
93	26
8	26
175	26
73	24
49	24
44	24
29	24
223	24
197	24
141	24
77	23
55	23
199	23
165	23
16	23
118	23
114	23
64	22
59	22
35	22
226	22
25	21
225	21
172	21
163	21
119	21
53	20
219	20
152	20
105	20
82	19
75	19
72	19
43	19
224	19
206	19
186	19
166	19
162	19
155	19
116	19
99	18
98	18
67	18
183	18
180	18
137	18
131	18
97	17
41	17
37	17
34	17
208	17
20	17
181	17
160	17
149	17
123	17
122	17
102	17
91	16
9	16
88	16
63	16
33	16
191	16
150	16
147	16
134	16
13	16
10	16
90	15
87	15
74	15
7	15
5	15
22	15
210	15
209	15
203	15
202	15
198	15
187	15
171	15
170	15
151	15
121	15
103	15
39	14
32	14
227	14
221	14
216	14
194	14
179	14
139	14
135	14
120	14
11	14
61	13
47	13
45	13
157	13
156	13
14	13
128	13
126	13
125	13
115	13
110	13
104	13
85	12
76	12
60	12
57	12
54	12
51	12
50	12
42	12
31	12
214	12
213	12
2	12
196	12
174	12
168	12
167	12
112	12
96	11
65	11
52	11
36	11
30	11
220	11
195	11
17	11
169	11
132	11
100	11
69	10
189	10
173	10
161	10
145	10
144	10
108	10
86	9
81	9
80	9
71	9
68	9
48	9
40	9
26	9
218	9
217	9
207	9
192	9
185	9
124	9
92	8
84	8
4	8
205	8
159	8
146	8
107	8
62	7
3	7
27	7
24	7
176	7
148	7
142	7
94	6
200	6
182	6
158	6
12	6
89	5
46	5
178	5
164	5
140	5
136	5
1	4
79	3
28	3
193	3
117	3
78	1
70	1
130	0
