locus	parsInfSites
201	54
188	54
106	52
190	48
184	47
177	44
211	41
15	38
19	31
129	31
101	31
127	30
18	29
133	29
111	29
66	28
143	28
138	27
6	26
58	26
222	26
113	26
109	26
83	25
95	24
44	23
73	22
56	22
23	22
204	22
93	21
226	21
165	21
153	21
141	21
59	20
225	20
215	20
212	20
199	20
163	20
8	19
77	19
55	19
43	19
223	19
119	19
118	19
53	18
25	18
224	18
21	18
206	18
186	18
172	18
99	17
49	17
41	17
208	17
162	17
155	17
75	16
64	16
183	16
152	16
137	16
123	16
97	15
91	15
9	15
67	15
37	15
34	15
22	15
181	15
103	15
82	14
72	14
38	14
33	14
219	14
216	14
191	14
175	14
149	14
139	14
88	13
29	13
209	13
171	13
147	13
134	13
131	13
121	13
120	13
10	13
74	12
54	12
5	12
221	12
214	12
197	12
180	12
179	12
166	12
151	12
135	12
13	12
128	12
126	12
116	12
114	12
110	12
11	12
104	12
90	11
57	11
47	11
42	11
39	11
210	11
203	11
202	11
174	11
16	11
154	11
125	11
122	11
115	11
105	11
98	10
96	10
65	10
63	10
61	10
45	10
20	10
195	10
161	10
157	10
132	10
102	10
86	9
81	9
51	9
50	9
35	9
32	9
220	9
2	9
196	9
150	9
14	9
87	8
85	8
76	8
60	8
48	8
217	8
198	8
187	8
169	8
167	8
145	8
108	8
107	8
92	7
84	7
68	7
52	7
24	7
185	7
17	7
156	7
148	7
146	7
7	6
62	6
40	6
4	6
36	6
30	6
3	6
189	6
173	6
168	6
159	6
158	6
12	6
112	6
94	5
80	5
69	5
31	5
27	5
26	5
227	5
213	5
182	5
176	5
160	5
144	5
142	5
136	5
46	4
218	4
207	4
205	4
192	4
178	4
170	4
164	4
124	4
28	3
200	3
100	3
1	3
71	2
194	2
117	2
89	1
79	1
78	1
70	1
193	1
140	0
130	0
