locus	varSites	parsInfSites
1	4	3
2	12	9
3	7	6
4	8	6
5	15	12
6	28	26
7	15	6
8	26	19
9	16	15
10	16	13
11	14	12
12	6	6
13	16	12
14	13	9
15	50	38
16	23	11
17	11	7
18	29	29
19	33	31
20	17	10
21	27	18
22	15	15
23	44	22
24	7	7
25	21	18
26	9	5
27	7	5
28	3	3
29	24	13
30	11	6
31	12	5
32	14	9
33	16	14
34	17	15
35	22	9
36	11	6
37	17	15
38	29	14
39	14	11
40	9	6
41	17	17
42	12	11
43	19	19
44	24	23
45	13	10
46	5	4
47	13	11
48	9	8
49	24	17
50	12	9
51	12	9
52	11	7
53	20	18
54	12	12
55	23	19
56	40	22
57	12	11
58	29	26
59	22	20
60	12	8
61	13	10
62	7	6
63	16	10
64	22	16
65	11	10
66	38	28
67	18	15
68	9	7
69	10	5
70	1	1
71	9	2
72	19	14
73	24	22
74	15	12
75	19	16
76	12	8
77	23	19
78	1	1
79	3	1
80	9	5
81	9	9
82	19	14
83	28	25
84	8	7
85	12	8
86	9	9
87	15	8
88	16	13
89	5	1
90	15	11
91	16	15
92	8	7
93	26	21
94	6	5
95	26	24
96	11	10
97	17	15
98	18	10
99	18	17
100	11	3
101	35	31
102	17	10
103	15	15
104	13	12
105	20	11
106	60	52
107	8	8
108	10	8
109	28	26
110	13	12
111	31	29
112	12	6
113	30	26
114	23	12
115	13	11
116	19	12
117	3	2
118	23	19
119	21	19
120	14	13
121	15	13
122	17	11
123	17	16
124	9	4
125	13	11
126	13	12
127	34	30
128	13	12
129	37	31
130	0	0
131	18	13
132	11	10
133	40	29
134	16	13
135	14	12
136	5	5
137	18	16
138	30	27
139	14	14
140	5	0
141	24	21
142	7	5
143	35	28
144	10	5
145	10	8
146	8	7
147	16	13
148	7	7
149	17	14
150	16	9
151	15	12
152	20	16
153	28	21
154	30	11
155	19	17
156	13	7
157	13	10
158	6	6
159	8	6
160	17	5
161	10	10
162	19	17
163	21	20
164	5	4
165	23	21
166	19	12
167	12	8
168	12	6
169	11	8
170	15	4
171	15	13
172	21	18
173	10	6
174	12	11
175	26	14
176	7	5
177	61	44
178	5	4
179	14	12
180	18	12
181	17	15
182	6	5
183	18	16
184	52	47
185	9	7
186	19	18
187	15	8
188	61	54
189	10	6
190	64	48
191	16	14
192	9	4
193	3	1
194	14	2
195	11	10
196	12	9
197	24	12
198	15	8
199	23	20
200	6	3
201	71	54
202	15	11
203	15	11
204	40	22
205	8	4
206	19	18
207	9	4
208	17	17
209	15	13
210	15	11
211	43	41
212	33	20
213	12	5
214	12	12
215	29	20
216	14	14
217	9	8
218	9	4
219	20	14
220	11	9
221	14	12
222	32	26
223	24	19
224	19	18
225	21	20
226	22	21
227	14	5
