locus	varSites
1	4
2	12
3	7
4	8
5	15
6	28
7	15
8	26
9	16
10	16
11	14
12	6
13	16
14	13
15	50
16	23
17	11
18	29
19	33
20	17
21	27
22	15
23	44
24	7
25	21
26	9
27	7
28	3
29	24
30	11
31	12
32	14
33	16
34	17
35	22
36	11
37	17
38	29
39	14
40	9
41	17
42	12
43	19
44	24
45	13
46	5
47	13
48	9
49	24
50	12
51	12
52	11
53	20
54	12
55	23
56	40
57	12
58	29
59	22
60	12
61	13
62	7
63	16
64	22
65	11
66	38
67	18
68	9
69	10
70	1
71	9
72	19
73	24
74	15
75	19
76	12
77	23
78	1
79	3
80	9
81	9
82	19
83	28
84	8
85	12
86	9
87	15
88	16
89	5
90	15
91	16
92	8
93	26
94	6
95	26
96	11
97	17
98	18
99	18
100	11
101	35
102	17
103	15
104	13
105	20
106	60
107	8
108	10
109	28
110	13
111	31
112	12
113	30
114	23
115	13
116	19
117	3
118	23
119	21
120	14
121	15
122	17
123	17
124	9
125	13
126	13
127	34
128	13
129	37
130	0
131	18
132	11
133	40
134	16
135	14
136	5
137	18
138	30
139	14
140	5
141	24
142	7
143	35
144	10
145	10
146	8
147	16
148	7
149	17
150	16
151	15
152	20
153	28
154	30
155	19
156	13
157	13
158	6
159	8
160	17
161	10
162	19
163	21
164	5
165	23
166	19
167	12
168	12
169	11
170	15
171	15
172	21
173	10
174	12
175	26
176	7
177	61
178	5
179	14
180	18
181	17
182	6
183	18
184	52
185	9
186	19
187	15
188	61
189	10
190	64
191	16
192	9
193	3
194	14
195	11
196	12
197	24
198	15
199	23
200	6
201	71
202	15
203	15
204	40
205	8
206	19
207	9
208	17
209	15
210	15
211	43
212	33
213	12
214	12
215	29
216	14
217	9
218	9
219	20
220	11
221	14
222	32
223	24
224	19
225	21
226	22
227	14
